apparentTemperature,cloudCover,datetime,dewPoint,humidity,icon,lat,long,ozone,precipIntensity,precipProbability,precipType,pressure,station_id,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
11.76,0.0,2018-05-05 16:00:00,5.46,0.65,clear-night,51.522287,-0.12584800000000002,325.07,0.0,0.0,,1024.76,BL0,Clear,11.76,1525561200,0.0,8.85,84,9.06,3.43
11.35,0.0,2018-05-05 17:00:00,5.11,0.65,clear-night,51.522287,-0.12584800000000002,324.51,0.0,0.0,,1024.74,BL0,Clear,11.35,1525564800,0.0,9.17,71,8.46,2.81
10.18,0.0,2018-05-05 18:00:00,5.24,0.71,clear-night,51.522287,-0.12584800000000002,324.14,0.0,0.0,,1024.61,BL0,Clear,10.18,1525568400,0.0,9.03,45,7.75,2.21
8.98,0.0,2018-05-05 19:00:00,5.42,0.76,clear-night,51.522287,-0.12584800000000002,323.77,0.0,0.0,,1024.42,BL0,Clear,9.42,1525572000,0.0,8.79,346,6.96,3.36
8.69,0.0,2018-05-05 20:00:00,5.31,0.76,clear-night,51.522287,-0.12584800000000002,323.4,0.0,0.0,,1024.28,BL0,Clear,9.39,1525575600,0.0,8.58,346,6.6,3.93
9.19,0.0,2018-05-05 21:00:00,5.07,0.72,clear-night,51.522287,-0.12584800000000002,323.01,0.0,0.0,,1024.12,BL0,Clear,9.82,1525579200,0.0,7.87,5,7.08,3.92
10.38,0.0,2018-05-05 22:00:00,4.92,0.69,clear-day,51.522287,-0.12584800000000002,322.56,0.0,0.0,,1024.0,BL0,Clear,10.38,1525582800,0.0,7.11,31,7.98,4.36
11.22,0.0,2018-05-05 23:00:00,5.19,0.66,clear-day,51.522287,-0.12584800000000002,322.17,0.0,0.0,,1023.91,BL0,Clear,11.22,1525586400,1.0,6.38,46,8.65,4.86
13.39,0.0,2018-05-06 00:00:00,6.04,0.61,clear-day,51.522287,-0.12584800000000002,321.78,0.0,0.0,,1023.86,BL0,Clear,13.39,1525590000,1.0,6.69,54,8.89,4.96
16.63,0.0,2018-05-06 01:00:00,7.1,0.53,clear-day,51.522287,-0.12584800000000002,321.43,0.0,0.0,,1023.84,BL0,Clear,16.63,1525593600,2.0,6.95,63,8.88,5.0
19.55,0.0,2018-05-06 02:00:00,7.89,0.47,clear-day,51.522287,-0.12584800000000002,321.31,0.0,0.0,,1023.74,BL0,Clear,19.55,1525597200,3.0,7.21,71,8.6,5.12
21.49,0.0,2018-05-06 03:00:00,8.21,0.43,clear-day,51.522287,-0.12584800000000002,321.57,0.0,0.0,,1023.47,BL0,Clear,21.49,1525600800,5.0,7.91,80,7.88,5.48
22.77,0.0,2018-05-06 04:00:00,8.28,0.4,clear-day,51.522287,-0.12584800000000002,322.05,0.0,0.0,,1023.14,BL0,Clear,22.77,1525604400,6.0,8.62,88,6.88,5.9
23.59,0.0,2018-05-06 05:00:00,8.29,0.38,clear-day,51.522287,-0.12584800000000002,322.52,0.0,0.0,,1022.75,BL0,Clear,23.59,1525608000,6.0,9.32,96,6.08,6.06
24.23,0.0,2018-05-06 06:00:00,8.32,0.36,clear-day,51.522287,-0.12584800000000002,323.1,0.0,0.0,,1022.25,BL0,Clear,24.23,1525611600,6.0,9.32,105,5.79,5.78
24.84,0.0,2018-05-06 07:00:00,8.31,0.35,clear-day,51.522287,-0.12584800000000002,323.69,0.0,0.0,,1021.69,BL0,Clear,24.84,1525615200,4.0,9.32,112,5.29,5.25
25.39,0.0,2018-05-06 08:00:00,8.36,0.34,clear-day,51.522287,-0.12584800000000002,324.22,0.0,0.0,,1021.23,BL0,Clear,25.39,1525618800,3.0,9.32,116,4.94,4.85
25.88,0.0,2018-05-06 09:00:00,8.56,0.33,clear-day,51.522287,-0.12584800000000002,324.44,0.0,0.0,,1020.87,BL0,Clear,25.88,1525622400,2.0,9.32,114,4.93,4.68
27.02,0.0,2018-05-06 10:00:00,8.79,0.32,clear-day,51.522287,-0.12584800000000002,324.61,0.0,0.0,,1020.58,BL0,Clear,27.02,1525626000,1.0,9.32,109,5.59,4.64
25.63,0.0,2018-05-06 11:00:00,8.83,0.35,clear-day,51.522287,-0.12584800000000002,324.72,0.0,0.0,,1020.46,BL0,Clear,25.63,1525629600,0.0,9.32,105,6.16,4.69
23.48,0.0,2018-05-06 12:00:00,8.49,0.38,clear-day,51.522287,-0.12584800000000002,324.78,0.0,0.0,,1020.67,BL0,Clear,23.48,1525633200,0.0,9.32,103,7.19,5.03
20.83,0.0,2018-05-06 13:00:00,7.96,0.44,clear-night,51.522287,-0.12584800000000002,324.8,0.0,0.0,,1021.04,BL0,Clear,20.83,1525636800,0.0,9.32,101,8.43,5.5
18.81,0.0,2018-05-06 14:00:00,7.48,0.48,clear-night,51.522287,-0.12584800000000002,324.71,0.0,0.0,,1021.31,BL0,Clear,18.81,1525640400,0.0,9.32,96,8.74,5.54
17.4,0.0,2018-05-06 15:00:00,7.1,0.51,clear-night,51.522287,-0.12584800000000002,324.52,0.0,0.0,,1021.41,BL0,Clear,17.4,1525644000,0.0,9.32,87,7.29,4.71
16.18,0.0,2018-05-06 16:00:00,6.78,0.54,clear-night,51.522287,-0.12584800000000002,324.36,0.0,0.0,,1021.42,BL0,Clear,16.18,1525647600,0.0,9.32,75,4.92,3.49
15.07,0.0,2018-05-06 17:00:00,6.51,0.57,clear-night,51.522287,-0.12584800000000002,324.11,0.0,0.0,,1021.29,BL0,Clear,15.07,1525651200,0.0,9.32,65,3.31,2.69
14.15,0.0,2018-05-06 18:00:00,6.28,0.59,clear-night,51.522287,-0.12584800000000002,323.65,0.0,0.0,,1021.04,BL0,Clear,14.15,1525654800,0.0,9.32,59,3.25,2.79
13.44,0.0,2018-05-06 19:00:00,6.12,0.61,clear-night,51.522287,-0.12584800000000002,323.14,0.0,0.0,,1020.63,BL0,Clear,13.44,1525658400,0.0,9.32,55,3.93,3.28
13.12,0.0,2018-05-06 20:00:00,6.06,0.62,clear-night,51.522287,-0.12584800000000002,322.74,0.0,0.0,,1020.35,BL0,Clear,13.12,1525662000,0.0,9.32,51,4.64,3.71
12.92,0.0,2018-05-06 21:00:00,6.09,0.63,clear-night,51.522287,-0.12584800000000002,322.63,0.0,0.0,,1020.27,BL0,Clear,12.92,1525665600,0.0,8.27,46,5.11,3.82
12.87,0.0,2018-05-06 22:00:00,6.23,0.64,clear-day,51.522287,-0.12584800000000002,322.54,0.0,0.0,,1020.29,BL0,Clear,12.87,1525669200,0.0,7.21,41,5.61,3.85
13.37,0.0,2018-05-06 23:00:00,6.58,0.63,clear-day,51.522287,-0.12584800000000002,322.65,0.0,0.0,,1020.27,BL0,Clear,13.37,1525672800,1.0,6.16,40,6.12,3.98
15.43,0.0,2018-05-07 00:00:00,7.3,0.58,clear-day,51.522287,-0.12584800000000002,322.74,0.0,0.0,,1020.27,BL0,Clear,15.43,1525676400,1.0,7.21,45,6.77,4.29
18.51,0.0,2018-05-07 01:00:00,8.23,0.51,clear-day,51.522287,-0.12584800000000002,322.94,0.0,0.0,,1020.24,BL0,Clear,18.51,1525680000,2.0,8.27,53,7.46,4.68
21.31,0.0,2018-05-07 02:00:00,9.03,0.45,clear-day,51.522287,-0.12584800000000002,323.13,0.0,0.0,,1020.08,BL0,Clear,21.31,1525683600,3.0,9.32,63,7.92,5.06
